x,y
-1.07441,-0.579746
-1.07038,-0.580409
-1.06636,-0.581072
-1.06233,-0.581735
-1.0583,-0.582398
-1.05427,-0.583061
-1.05025,-0.583725
-1.04622,-0.584388
-1.04219,-0.585051
-1.03817,-0.585714
-1.03414,-0.586377
-1.03011,-0.58704
-1.02609,-0.587703
-1.02206,-0.588366
-1.01803,-0.589029
-1.014,-0.589692
-1.00998,-0.590355
-1.00595,-0.591018
-1.00192,-0.591681
-0.997896,-0.592344
-0.993869,-0.593007
-0.989842,-0.59367
-0.985815,-0.594333
-0.981788,-0.594996
-0.977761,-0.595659
-0.973733,-0.596322
-0.969706,-0.596985
-0.965679,-0.597648
-0.961652,-0.598311
-0.957625,-0.598974
-0.953598,-0.599637
-0.94957,-0.600301
-0.945542,-0.600968
-0.941513,-0.601641
-0.937484,-0.602324
-0.933457,-0.603018
-0.929431,-0.603726
-0.925408,-0.604447
-0.921387,-0.605181
-0.917368,-0.605929
-0.913352,-0.60669
-0.909339,-0.607465
-0.905328,-0.608253
-0.90132,-0.609055
-0.897315,-0.60987
-0.893313,-0.610699
-0.889313,-0.611541
-0.885316,-0.612397
-0.881322,-0.613266
-0.877331,-0.614149
-0.873344,-0.615045
-0.869359,-0.615954
-0.865377,-0.616877
-0.861398,-0.617813
-0.857422,-0.618764
-0.853449,-0.619731
-0.84948,-0.620717
-0.845514,-0.621723
-0.841553,-0.622752
-0.837599,-0.623806
-0.83365,-0.624887
-0.829709,-0.625998
-0.825775,-0.627141
-0.824249,-0.627595
-0.821735,-0.628364
-0.818629,-0.629332
-0.815143,-0.63044
-0.81126,-0.63171
-0.807376,-0.633031
-0.803509,-0.634404
-0.799661,-0.63583
-0.795832,-0.637308
-0.792024,-0.638836
-0.788237,-0.640416
-0.784472,-0.642046
-0.78073,-0.643728
-0.777011,-0.645459
-0.773316,-0.64724
-0.769645,-0.649071
-0.765999,-0.650951
-0.76238,-0.652881
-0.758787,-0.654859
-0.755221,-0.656886
-0.751683,-0.65896
-0.748173,-0.661082
-0.744693,-0.663252
-0.741242,-0.665468
-0.737822,-0.66773
-0.734433,-0.670039
-0.731076,-0.672393
-0.727751,-0.674793
-0.724458,-0.677237
-0.721198,-0.679728
-0.717952,-0.682282
-0.714748,-0.684876
-0.71158,-0.687512
-0.708447,-0.690192
-0.70535,-0.692913
-0.702291,-0.695675
-0.699268,-0.698479
-0.696284,-0.701322
-0.693338,-0.704206
-0.690431,-0.707129
-0.687563,-0.710091
-0.684736,-0.713091
-0.68195,-0.716129
-0.679204,-0.719204
-0.676501,-0.722313
-0.673838,-0.725454
-0.671214,-0.728624
-0.668626,-0.731821
-0.666071,-0.735043
-0.663547,-0.738291
-0.661068,-0.741552
-0.658623,-0.744839
-0.656211,-0.748149
-0.653833,-0.751484
-0.651489,-0.754843
-0.649179,-0.758226
-0.646904,-0.761632
-0.644663,-0.765061
-0.642457,-0.768513
-0.640286,-0.771987
-0.63815,-0.775482
-0.63605,-0.779
-0.633986,-0.782538
-0.631957,-0.786098
-0.629965,-0.789677
-0.628009,-0.793277
-0.626089,-0.796897
-0.624206,-0.800536
-0.62236,-0.804194
-0.620552,-0.80787
-0.61878,-0.811565
-0.617046,-0.815278
-0.61535,-0.819008
-0.61369,-0.822754
-0.612066,-0.826514
-0.610475,-0.830288
-0.608914,-0.834072
-0.607381,-0.837868
-0.605874,-0.841672
-0.60439,-0.845485
-0.602926,-0.849304
-0.601485,-0.853133
-0.60007,-0.856978
-0.598687,-0.860829
-0.597319,-0.864679
-0.595955,-0.868526
-0.59459,-0.872372
-0.593225,-0.876218
-0.591859,-0.880064
-0.590494,-0.88391
-0.589128,-0.887756
-0.587762,-0.891602
-0.586396,-0.895447
-0.58503,-0.899293
-0.583664,-0.903139
-0.582298,-0.906985
-0.580932,-0.910831
-0.579566,-0.914676
-0.5782,-0.918522
-0.576834,-0.922368
-0.575468,-0.926214
-0.574101,-0.930059
-0.572735,-0.933905
-0.571369,-0.937751
-0.570002,-0.941596
-0.568636,-0.945442
-0.567269,-0.949288
-0.565903,-0.953133
-0.564536,-0.956979
-0.563169,-0.960824
-0.561803,-0.96467
-0.560436,-0.968515
-0.559069,-0.972361
-0.557702,-0.976206
-0.556335,-0.980052
-0.554968,-0.983897
-0.553601,-0.987743
-0.552234,-0.991588
-0.550867,-0.995434
-0.5495,-0.999279
-0.548133,-1.00312
-0.546766,-1.00697
-0.545398,-1.01082
-0.544031,-1.01466
-0.542664,-1.01851
-0.541296,-1.02235
-0.539929,-1.0262
-0.538561,-1.03004
-0.537194,-1.03389
-0.535826,-1.03773
-0.534459,-1.04158
-0.533091,-1.04542
-0.531723,-1.04927
-0.530356,-1.05311
-0.528988,-1.05696
-0.52762,-1.0608
-0.526252,-1.06465
-0.524884,-1.06849
-0.523516,-1.07234
-0.522148,-1.07618
-0.520725,-1.08018
-0.5193,-1.08419
-0.51782,-1.08835
-0.516337,-1.09251
-0.514855,-1.09668
-0.513318,-1.101
-0.511779,-1.10532
-0.510184,-1.1098
-0.508588,-1.11429
-0.506936,-1.11893
-0.505283,-1.12358
-0.503574,-1.12838
-0.501808,-1.13334
-0.500041,-1.1383
-0.498218,-1.14342
-0.496338,-1.1487
-0.494456,-1.15399
-0.492519,-1.15943
-0.49058,-1.16488
-0.488641,-1.17032
-0.486702,-1.17577
-0.484763,-1.18122
-0.482823,-1.18666
-0.480884,-1.19211
-0.478945,-1.19755
-0.477005,-1.203
-0.475066,-1.20845
-0.473126,-1.21389
-0.471186,-1.21934
-0.469246,-1.22478
-0.467307,-1.23023
-0.465367,-1.23568
-0.463427,-1.24112
-0.461487,-1.24657
-0.459547,-1.25201
