x,y
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99977,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99976,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99975,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99974,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99973,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99972,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.99971,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.9997,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99969,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99968,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99967,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99966,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99965,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99964,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99963,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99962,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.99961,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.9996,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99959,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99958,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99957,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99956,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99955,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99954,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99953,-0.5
-1.99952,-0.5
-1.99952,-0.5
-1.99952,-0.5
-1.99952,-0.5
-1.99952,-0.5
