x,y,p_xx,p_xy,p_yy
0.00543864,0.000901234,0.0157283,0,0.00253177
0.00551552,0.000898764,0.0157716,0,0.00253138
0.00558644,0.00090327,0.0158723,0,0.00253511
0.005614,0.000904878,0.0159958,0,0.00253526
0.00562773,0.000905004,0.0162539,0,0.0025371
0.00568174,0.000917138,0.0163149,0,0.00254178
0.00577817,0.000926199,0.0165125,0,0.0025407
0.00589479,0.000929237,0.0166376,0,0.00254774
0.00600332,0.000930019,0.0166401,0,0.00255117
0.00608568,0.000928799,0.0166237,0,0.00254975
0.00619746,0.000926305,0.0167028,0,0.00255183
0.00629077,0.000926993,0.0167559,0,0.00255292
0.00636666,0.000932909,0.016827,0,0.00255683
0.00645051,0.000935212,0.0169543,0,0.00255966
0.0064724,0.000937315,0.0169488,0,0.00256463
0.00646329,0.000938428,0.017063,0,0.00255781
0.00646764,0.000934114,0.017092,0,0.00256199
0.00648506,0.000931566,0.0171154,0,0.00256435
0.0064891,0.000930141,0.017134,0,0.00256393
0.00643507,0.000919425,0.017034,0,0.00256573
0.00641483,0.000911021,0.0169853,0,0.00256571
0.00641338,0.000903313,0.0171793,0,0.00256847
0.00644466,0.000895969,0.0172376,0,0.00257011
0.00641909,0.000882891,0.0173465,0,0.00257468
0.00637774,0.000873047,0.0175191,0,0.00257993
0.00629696,0.000861694,0.0175745,0,0.00258173
0.00625306,0.000856493,0.0177038,0,0.00258054
0.00624011,0.00084849,0.0177786,0,0.00258383
0.00627964,0.000842756,0.0179086,0,0.00258161
0.00632847,0.000831486,0.0178576,0,0.00258025
0.00643503,0.000820646,0.0180696,0,0.00258165
0.0065515,0.000815196,0.0182139,0,0.00258347
0.00666015,0.000814651,0.0182278,0,0.00258592
0.00686247,0.000808734,0.0183979,0,0.00258573
0.00699775,0.000804883,0.0183777,0,0.00258761
0.00710995,0.000803671,0.018532,0,0.00258773
0.0071908,0.000805656,0.0187689,0,0.0025899
0.0073013,0.000807123,0.0189112,0,0.00259323
0.00736097,0.000810358,0.0189997,0,0.00259284
0.00739132,0.000814168,0.0190616,0,0.00259501
0.00740315,0.000811135,0.0192732,0,0.00259856
0.00747092,0.000808191,0.0192648,0,0.00259982
0.00753981,0.000806844,0.0193084,0,0.00259981
0.00758431,0.000811872,0.0195348,0,0.00260773
0.00758613,0.000812702,0.0196146,0,0.00260635
0.00755415,0.000811151,0.019704,0,0.00260168
0.0075036,0.000802665,0.0197519,0,0.00260298
0.00749056,0.000793745,0.0197803,0,0.00260853
0.00754849,0.000784058,0.019847,0,0.00261428
0.00757803,0.000780086,0.01985,0,0.00261385
0.00761687,0.00076815,0.0201094,0,0.00261065
0.00771411,0.000765206,0.0200208,0,0.00261261
0.00786275,0.000756474,0.0202501,0,0.00261486
0.00796518,0.00075309,0.0203031,0,0.00261889
0.00803634,0.000755146,0.0204843,0,0.00262072
0.00812181,0.000754353,0.0206112,0,0.00262151
0.00823854,0.000765502,0.020805,0,0.00262044
0.00840572,0.000773353,0.0209974,0,0.0026199
0.0085066,0.000780331,0.0211439,0,0.00261798
0.00862864,0.000788428,0.0213404,0,0.00262052
0.00869073,0.00079449,0.0213968,0,0.00261795
0.00871665,0.000793094,0.0214971,0,0.00262185
0.00874439,0.000792641,0.0215825,0,0.00262169
0.00877453,0.000791541,0.0217728,0,0.00261856
0.00881219,0.000783652,0.0217817,0,0.00262265
0.00882364,0.000774492,0.0217759,0,0.00262814
0.00889052,0.000768505,0.0218451,0,0.00262973
0.00898201,0.000756243,0.02197,0,0.00263175
0.00909317,0.000741452,0.0220851,0,0.00263467
0.00910175,0.000725034,0.0222179,0,0.00263511
0.00912738,0.000713515,0.0222997,0,0.00263148
0.00917896,0.000704923,0.0225299,0,0.00263531
