x,y,p_xx,p_xy,p_yy
0.712644,-0.200355,507.021,-25.8818,166.401
0.715078,-0.196982,507.429,-25.4548,167.093
0.717638,-0.193528,507.848,-25.0243,167.774
0.720235,-0.190118,508.279,-24.5905,168.444
0.722901,-0.186709,508.72,-24.1538,169.102
0.725705,-0.183218,509.173,-23.7144,169.749
0.728586,-0.179724,509.638,-23.2727,170.385
0.731597,-0.176168,510.114,-22.8289,171.009
0.734632,-0.172676,510.601,-22.3834,171.622
0.737779,-0.169148,511.1,-21.9364,172.223
0.740977,-0.165654,511.61,-21.4882,172.813
0.744322,-0.162092,512.131,-21.0392,173.392
0.747681,-0.158606,512.665,-20.5896,173.959
0.752024,-0.154217,513.21,-20.1397,174.514
0.754715,-0.151585,513.77,-19.6899,175.054
0.758394,-0.148061,514.339,-19.2403,175.585
0.762209,-0.144505,514.921,-18.7915,176.103
0.766097,-0.140989,515.516,-18.344,176.608
0.770125,-0.137463,516.126,-17.898,177.098
0.774175,-0.13402,516.749,-17.454,177.575
0.778418,-0.130518,517.385,-17.0123,178.04
0.782738,-0.127054,518.033,-16.5732,178.492
0.787083,-0.12367,518.694,-16.1372,178.931
0.7916,-0.120257,519.367,-15.7044,179.358
0.796162,-0.116906,520.052,-15.2751,179.773
0.800799,-0.113592,520.748,-14.8494,180.178
0.80554,-0.110296,521.454,-14.4277,180.571
0.810395,-0.107012,522.172,-14.0102,180.953
0.815289,-0.103789,522.9,-13.5969,181.326
0.820218,-0.100629,523.638,-13.1882,181.688
0.825321,-0.0974478,524.386,-12.7842,182.04
0.830536,-0.0942822,525.144,-12.385,182.382
0.835802,-0.0911743,525.912,-11.9912,182.715
0.841122,-0.0881212,526.689,-11.6029,183.038
0.846472,-0.0851447,527.476,-11.2205,183.351
0.851905,-0.0822081,528.273,-10.8441,183.654
0.857373,-0.0793395,529.078,-10.4738,183.949
0.86298,-0.0764845,529.893,-10.11,184.234
0.868753,-0.0736343,530.717,-9.75288,184.511
0.874457,-0.0709079,531.55,-9.40288,184.778
0.880272,-0.0682187,532.391,-9.06012,185.037
0.88612,-0.065609,533.241,-8.72488,185.287
0.892021,-0.0630595,534.099,-8.39694,185.529
0.898043,-0.0605366,534.965,-8.07649,185.764
0.904079,-0.0581001,535.839,-7.7642,185.99
0.910152,-0.0557352,536.721,-7.46,186.209
0.916344,-0.0534124,537.61,-7.16407,186.42
0.922552,-0.0511699,538.506,-6.87655,186.624
0.928824,-0.0489891,539.409,-6.59758,186.821
0.935149,-0.0468732,540.319,-6.32735,187.012
0.940946,-0.0450123,541.235,-6.06585,187.196
0.946699,-0.0432359,542.157,-5.81269,187.374
0.952503,-0.041512,543.084,-5.56781,187.546
0.957745,-0.0400199,544.017,-5.33126,187.714
