x,y,p_xx,p_xy,p_yy
0.00617591,2.70522e-06,0.0174766,0,0.0174766
0.00609724,2.70406e-06,0.0157072,0,0.0157072
0.00603652,2.70077e-06,0.0145408,0,0.0145408
0.00599079,2.70948e-06,0.0166369,0,0.0166369
0.0060254,2.70217e-06,0.0151793,0,0.0151793
0.00599393,2.68171e-06,0.0141813,0,0.0141813
0.0059778,2.68229e-06,0.0162561,0,0.0162561
0.00598905,2.68269e-06,0.01491,0,0.01491
0.00598172,2.68796e-06,0.0170136,0,0.0170136
0.00603036,2.71364e-06,0.0154067,0,0.0154067
0.0060413,2.72773e-06,0.0175228,0,0.0175228
0.00598329,2.69859e-06,0.0157369,0,0.0157369
0.00599535,2.69386e-06,0.014561,0,0.014561
0.00599173,2.69842e-06,0.0166607,0,0.0166607
0.00601632,2.69923e-06,0.015175,0,0.015175
0.0060245,2.69341e-06,0.0141811,0,0.0141811
0.00603003,2.69768e-06,0.0162746,0,0.0162746
0.00601587,2.69821e-06,0.0149207,0,0.0149207
0.00601331,2.70374e-06,0.0170293,0,0.0170293
0.00601532,2.69599e-06,0.0154171,0,0.0154171
0.00601454,2.69894e-06,0.0175351,0,0.0175351
0.00602399,2.69257e-06,0.015745,0,0.015745
0.00602653,2.69502e-06,0.0178679,0,0.0178679
0.0060022,2.66863e-06,0.015959,0,0.015959
0.00599564,2.66188e-06,0.0180838,0,0.0180838
0.00598907,2.65513e-06,0.0202643,0,0.0202643
0.00598246,2.64834e-06,0.0225183,0,0.0225183
0.00593407,2.58162e-06,0.0187788,0,0.0187788
0.00588274,2.52199e-06,0.0165341,0,0.0165341
0.00585906,2.49226e-06,0.0186612,0,0.0186612
0.00584549,2.47449e-06,0.0164626,0,0.0164626
0.00582696,2.45068e-06,0.0185944,0,0.0185944
0.00580303,2.42428e-06,0.0164194,0,0.0164194
0.00577276,2.38456e-06,0.0150128,0,0.0150128
0.00575094,2.35681e-06,0.0171125,0,0.0171125
0.00571361,2.30077e-06,0.0155036,0,0.0155036
0.00570988,2.29734e-06,0.0143783,0,0.0143783
0.00569284,2.27314e-06,0.0164684,0,0.0164684
0.00572906,2.33164e-06,0.0150482,0,0.0150482
0.00573167,2.33964e-06,0.0171548,0,0.0171548
0.00568143,2.24572e-06,0.0154986,0,0.0154986
0.00566317,2.21546e-06,0.0176156,0,0.0176156
0.00563692,2.16078e-06,0.0157971,0,0.0157971
0.00561533,2.12209e-06,0.01792,0,0.01792
0.00559326,2.05822e-06,0.0159984,0,0.0159984
0.00556468,1.97894e-06,0.0147473,0,0.0147473
0.00554754,1.93653e-06,0.0168253,0,0.0168253
0.0055255,1.882e-06,0.0189706,0,0.0189706
0.00550344,1.82741e-06,0.0211819,0,0.0211819
0.00544897,1.6638e-06,0.0179979,0,0.0179979
0.00543185,1.60871e-06,0.0160418,0,0.0160418
0.00540889,1.54581e-06,0.018162,0,0.018162
0.0054354,1.62586e-06,0.0161544,0,0.0161544
0.00543061,1.61677e-06,0.0182748,0,0.0182748
0.0053706,1.40962e-06,0.0162134,0,0.0162134
0.00534534,1.32825e-06,0.0183363,0,0.0183363
0.00536276,1.38454e-06,0.0162575,0,0.0162575
0.00535163,1.34951e-06,0.0183826,0,0.0183826
0.00539897,1.49649e-06,0.0162866,0,0.0162866
0.0054037,1.50893e-06,0.018412,0,0.018412
0.00540844,1.5214e-06,0.0205937,0,0.0205937
0.00542033,1.56327e-06,0.0176507,0,0.0176507
0.00542573,1.58982e-06,0.0158195,0,0.0158195
0.00542648,1.59317e-06,0.0179335,0,0.0179335
0.00539612,1.57093e-06,0.0160008,0,0.0160008
0.00544951,1.66163e-06,0.0147367,0,0.0147367
0.00546178,1.68543e-06,0.0168339,0,0.0168339
0.00541101,1.61641e-06,0.0152883,0,0.0152883
0.00539965,1.60556e-06,0.0173986,0,0.0173986
0.00532422,1.51672e-06,0.0156567,0,0.0156567
0.00529243,1.48385e-06,0.0177754,0,0.0177754
0.00536072,1.52478e-06,0.0158995,0,0.0158995
0.00536348,1.51684e-06,0.0180224,0,0.0180224
0.00538661,1.52912e-06,0.0160577,0,0.0160577
0.00539334,1.52458e-06,0.0181824,0,0.0181824
0.00535886,1.52291e-06,0.0161602,0,0.0161602
0.00537471,1.5326e-06,0.0148432,0,0.0148432
0.00537531,1.52743e-06,0.0169435,0,0.0169435
0.00528084,1.52309e-06,0.0153606,0,0.0153606
0.00524155,1.51167e-06,0.0174874,0,0.0174874
0.00520538,1.52094e-06,0.0157049,0,0.0157049
0.00517103,1.51375e-06,0.0178234,0,0.0178234
0.00524054,1.56699e-06,0.0159304,0,0.0159304
0.00522899,1.55534e-06,0.0147252,0,0.0147252
0.00522634,1.55724e-06,0.016781,0,0.016781
0.00523501,1.55976e-06,0.0152539,0,0.0152539
0.00523398,1.56316e-06,0.0173619,0,0.0173619
0.00523296,1.56657e-06,0.0195233,0,0.0195233
0.00523946,1.56512e-06,0.0169979,0,0.0169979
0.00523929,1.56797e-06,0.0191776,0,0.0191776
0.00517586,1.48515e-06,0.0167648,0,0.0167648
0.00515506,1.46162e-06,0.0188993,0,0.0188993
0.0051544,1.45577e-06,0.0166167,0,0.0166167
0.00520696,1.50523e-06,0.0151424,0,0.0151424
0.00521721,1.51164e-06,0.0172441,0,0.0172441
0.00518106,1.48609e-06,0.0155564,0,0.0155564
0.00517154,1.47707e-06,0.0176688,0,0.0176688
0.00523126,1.53077e-06,0.0158383,0,0.0158383
0.00523158,1.53855e-06,0.0146232,0,0.0146232
0.00523672,1.54544e-06,0.0167208,0,0.0167208
0.00527716,1.5586e-06,0.0152141,0,0.0152141
0.00539256,1.5992e-06,0.0173246,0,0.0173246
0.00560806,1.67171e-06,0.0194887,0,0.0194887
0.00542935,1.593e-06,0.0169761,0,0.0169761
0.00569245,1.67188e-06,0.019123,0,0.019123
0.00605332,1.78228e-06,0.021329,0,0.021329
0.0057816,1.74571e-06,0.0180959,0,0.0180959
0.00580698,1.80974e-06,0.0160991,0,0.0160991
0.00634675,2.00114e-06,0.0182169,0,0.0182169
0.00719105,2.29341e-06,0.0204159,0,0.0204159
0.00800295,2.57052e-06,0.0226247,0,0.0226247
0.00727422,2.64418e-06,0.0188439,0,0.0188439
0.00832295,3.094e-06,0.0210194,0,0.0210194
0.00799993,3.24352e-06,0.0179289,0,0.0179289
0.00801165,3.47352e-06,0.0159855,0,0.0159855
0.00915842,4.00193e-06,0.0180932,0,0.0180932
0.00942073,4.24425e-06,0.0161367,0,0.0161367
0.0106833,4.76204e-06,0.0182445,0,0.0182445
0.0101635,4.84032e-06,0.016178,0,0.016178
0.0104989,5.24407e-06,0.0148541,0,0.0148541
0.0122374,6.03395e-06,0.0169494,0,0.0169494
0.0121273,6.2649e-06,0.0153638,0,0.0153638
0.0141456,7.16201e-06,0.0174731,0,0.0174731
0.0138002,7.69827e-06,0.015705,0,0.015705
0.0160101,8.83848e-06,0.0178232,0,0.0178232
0.0153695,9.54765e-06,0.0159303,0,0.0159303
0.0154989,1.06171e-05,0.0146901,0,0.0146901
0.0188094,1.27485e-05,0.0168377,0,0.0168377
0.0206723,1.38312e-05,0.018933,0,0.018933
0.0192334,1.49573e-05,0.0166321,0,0.0166321
0.0223048,1.7029e-05,0.0187685,0,0.0187685
0.0209236,1.8152e-05,0.0165299,0,0.0165299
0.0249465,2.09528e-05,0.0187059,0,0.0187059
0.0226792,2.19708e-05,0.0164639,0,0.0164639
0.0260829,2.45622e-05,0.0185917,0,0.0185917
0.0302499,2.73942e-05,0.0207742,0,0.0207742
0.0268781,2.8901e-05,0.0177599,0,0.0177599
0.0307312,3.19714e-05,0.0199139,0,0.0199139
0.0283448,3.39147e-05,0.0172408,0,0.0172408
0.0276876,3.59727e-05,0.015554,0,0.015554
0.0312178,3.92024e-05,0.0176606,0,0.0176606
0.0301837,4.17078e-05,0.0158256,0,0.0158256
0.0301753,4.4581e-05,0.0146194,0,0.0146194
0.0337732,4.81818e-05,0.0167153,0,0.0167153
0.0329029,5.00646e-05,0.0152104,0,0.0152104
0.036759,5.36056e-05,0.0173218,0,0.0173218
0.0353254,5.5359e-05,0.0156056,0,0.0156056
0.035073,5.76225e-05,0.0144725,0,0.0144725
0.0387224,6.10805e-05,0.0165691,0,0.0165691
0.0376525,6.25967e-05,0.0151154,0,0.0151154
0.0375565,6.4925e-05,0.0141408,0,0.0141408
0.0411605,6.82891e-05,0.0162333,0,0.0162333
0.0403047,7.06149e-05,0.0148931,0,0.0148931
0.0441577,7.42481e-05,0.0170018,0,0.0170018
0.0425964,7.56414e-05,0.0153999,0,0.0153999
0.0422151,7.78053e-05,0.0143336,0,0.0143336
0.0458607,8.12095e-05,0.0164301,0,0.0164301
0.0447806,8.26618e-05,0.0150242,0,0.0150242
0.048627,8.59557e-05,0.0171345,0,0.0171345
0.0469625,8.69645e-05,0.0154853,0,0.0154853
0.0509179,9.01926e-05,0.0176042,0,0.0176042
0.0490915,9.21384e-05,0.0157893,0,0.0157893
0.0530924,9.56701e-05,0.0179127,0,0.0179127
0.0513048,9.75019e-05,0.0160007,0,0.0160007
0.0501983,9.94465e-05,0.0147276,0,0.0147276
0.0539005,0.000103131,0.0168268,0,0.0168268
0.0583891,0.00010709,0.0189751,0,0.0189751
0.0551845,0.000108695,0.0166579,0,0.0166579
0.0540417,0.000111061,0.0151732,0,0.0151732
0.0578597,0.00011518,0.0172826,0,0.0172826
0.0562293,0.000118318,0.0155799,0,0.0155799
0.0601337,0.000122829,0.0176962,0,0.0176962
0.0581541,0.00012592,0.0158486,0,0.0158486
0.0575464,0.00012973,0.0146356,0,0.0146356
0.0611972,0.00013466,0.016734,0,0.016734
0.0600208,0.000138774,0.0152233,0,0.0152233
0.0639002,0.000144076,0.0173347,0,0.0173347
0.0620873,0.000147473,0.0156155,0,0.0156155
0.0615709,0.000151785,0.0144795,0,0.0144795
0.0652145,0.000157217,0.0165765,0,0.0165765
0.0696646,0.000162958,0.0187229,0,0.0187229
0.0665288,0.000166114,0.0164998,0,0.0164998
0.0706882,0.000171902,0.0186384,0,0.0186384
0.0683842,0.000174548,0.0164658,0,0.0164658
0.0717034,0.000178539,0.0185765,0,0.0185765
0.069183,0.000180614,0.016409,0,0.016409
0.0731762,0.000184354,0.018537,0,0.018537
0.0697663,0.000182854,0.0163846,0,0.0163846
0.0734604,0.00018363,0.0185122,0,0.0185122
0.0708147,0.000183675,0.0163684,0,0.0163684
0.0752397,0.000180855,0.0185229,0,0.0185229
0.0720265,0.000180723,0.0163583,0,0.0163583
0.0711659,0.000176991,0.0149745,0,0.0149745
0.0747424,0.000164148,0.0170747,0,0.0170747
0.0733678,0.000159477,0.0154467,0,0.0154467
0.0771476,0.000136278,0.0175578,0,0.0175578
0.075374,0.000132216,0.0157598,0,0.0157598
0.0792937,9.6291e-05,0.0178797,0,0.0178797
0.0771174,9.70447e-05,0.0159658,0,0.0159658
0.0810654,4.77353e-05,0.0180893,0,0.0180893
0.078988,4.48819e-05,0.0160999,0,0.0160999
0.082993,-2.22804e-05,0.0182258,0,0.0182258
0.0807568,-2.22115e-05,0.0161867,0,0.0161867
0.085225,-0.000120528,0.0183312,0,0.0183312
0.0823462,-0.000101095,0.0162425,0,0.0162425
0.0815847,-0.000127166,0.0148978,0,0.0148978
0.0852589,-0.000251234,0.0169978,0,0.0169978
0.0838583,-0.000259187,0.0153962,0,0.0153962
0.0835171,-0.000304129,0.0143307,0,0.0143307
0.0871569,-0.000482019,0.0164247,0,0.0164247
0.0861289,-0.000503183,0.0150196,0,0.0150196
0.0899909,-0.000728794,0.0171282,0,0.0171282
0.0946558,-0.00101147,0.0192902,0,0.0192902
0.0909574,-0.000886809,0.0168529,0,0.0168529
0.09518,-0.00117869,0.0189991,0,0.0189991
0.0922671,-0.00108263,0.0166838,0,0.0166838
0.0908267,-0.00106981,0.0151825,0,0.0151825
0.0945175,-0.00139035,0.0172872,0,0.0172872
0.0930578,-0.00137465,0.0155845,0,0.0155845
0.0969921,-0.00175826,0.0177007,0,0.0177007
0.0949987,-0.00168109,0.0158508,0,0.0158508
0.0996166,-0.00217834,0.0179974,0,0.0179974
0.0967876,-0.00199995,0.016025,0,0.016025
0.10076,-0.00246938,0.0181473,0,0.0181473
0.09847,-0.00232886,0.016138,0,0.016138
0.102398,-0.00283224,0.0182616,0,0.0182616
0.100139,-0.00268279,0.01621,0,0.01621
0.0993391,-0.00269621,0.0148764,0,0.0148764
0.103654,-0.00333283,0.0169996,0,0.0169996
0.101516,-0.00314522,0.0153826,0,0.0153826
0.105319,-0.0037479,0.0174929,0,0.0174929
0.103592,-0.00361662,0.0157176,0,0.0157176
0.107781,-0.00432639,0.017848,0,0.017848
0.112091,-0.00506568,0.0200099,0,0.0200099
0.107781,-0.00449548,0.0172957,0,0.0172957
0.111919,-0.00524549,0.0194459,0,0.0194459
0.116843,-0.00614694,0.021657,0,0.021657
0.111102,-0.00529938,0.0182822,0,0.0182822
0.115323,-0.00611486,0.0204485,0,0.0204485
0.11141,-0.00555267,0.0175665,0,0.0175665
0.11,-0.00543273,0.0157643,0,0.0157643
0.109837,-0.00554415,0.014585,0,0.014585
