x,y,p_xx,p_xy,p_yy,landmark_detected
-0.0270156,0.030524,0.0546572,0.0253652,0.0540301,0
-0.026646,0.0305365,0.0546703,0.0253747,0.0540504,0
-0.026646,0.0305365,0.0546703,0.0253747,0.0540504,0
-0.0266119,0.0305376,0.0546806,0.0253759,0.0540532,0
-0.0266119,0.0305376,0.0546806,0.0253759,0.0540532,0
-0.0265758,0.0305389,0.0546908,0.0253771,0.0540561,0
-0.0265758,0.0305389,0.0546908,0.0253771,0.0540561,0
-0.0265758,0.0305389,0.0546908,0.0253771,0.0540561,0
-0.0265088,0.0305412,0.0547014,0.0253791,0.0540606,0
-0.0265062,0.0305413,0.0547114,0.0253795,0.0540617,0
-0.0264849,0.030542,0.0547216,0.0253803,0.0540638,0
-0.0264849,0.030542,0.0547216,0.0253803,0.0540638,0
-0.0264004,0.0305449,0.0547322,0.0253827,0.0540693,0
-0.0264004,0.0305449,0.0547322,0.0253827,0.0540693,0
-0.0263881,0.0305453,0.0547423,0.0253833,0.0540709,0
-0.0263881,0.0305453,0.0547423,0.0253833,0.0540709,0
-0.0263881,0.0305453,0.0547423,0.0253833,0.0540709,0
-0.0263116,0.0305479,0.054753,0.0253855,0.0540759,0
-0.0262825,0.0305489,0.0547632,0.0253865,0.0540784,0
-0.0262825,0.0305489,0.0547632,0.0253865,0.0540784,0
-0.0262275,0.0305508,0.0547736,0.0253882,0.0540823,0
-0.0262275,0.0305508,0.0547736,0.0253882,0.0540823,0
-0.0261533,0.0305533,0.0547842,0.0253904,0.0540872,0
-0.0261371,0.0305538,0.0547944,0.0253911,0.054089,0
-0.0261371,0.0305538,0.0547944,0.0253911,0.054089,0
-0.0261371,0.0305538,0.0547944,0.0253911,0.054089,0
-0.0260793,0.0305558,0.0548048,0.0253928,0.0540931,0
-0.0260793,0.0305558,0.0548048,0.0253928,0.0540931,0
-0.0259821,0.030559,0.0548156,0.0253955,0.0540992,0
-0.0259821,0.030559,0.0548156,0.0253955,0.0540992,0
-0.0259619,0.0305597,0.0548258,0.0253963,0.0541012,0
-0.0259517,0.03056,0.0548359,0.0253969,0.0541028,0
-0.0259517,0.03056,0.0548359,0.0253969,0.0541028,0
-0.0258792,0.0305625,0.0548464,0.025399,0.0541076,0
-0.0258792,0.0305625,0.0548464,0.025399,0.0541076,0
-0.0258426,0.0305637,0.0548567,0.0254002,0.0541105,0
-0.0258426,0.0305637,0.0548567,0.0254002,0.0541105,0
-0.0258426,0.0305637,0.0548567,0.0254002,0.0541105,0
-0.0257824,0.0305657,0.0548672,0.025402,0.0541146,0
-0.0257824,0.0305657,0.0548672,0.025402,0.0541146,0
-0.0257737,0.030566,0.0548773,0.0254025,0.0541161,0
-0.0257737,0.030566,0.0548773,0.0254025,0.0541161,0
-0.0257422,0.030567,0.0548876,0.0254036,0.0541187,0
-0.0257422,0.030567,0.0548876,0.0254036,0.0541187,0
-0.0257119,0.0305679,0.0548978,0.0254046,0.0541213,0
-0.0257119,0.0305679,0.0548978,0.0254046,0.0541213,0
-0.0256922,0.0305686,0.054908,0.0254054,0.0541234,0
-0.0256922,0.0305686,0.054908,0.0254054,0.0541234,0
-0.0256564,0.0305697,0.0549182,0.0254066,0.0541263,0
-0.0256564,0.0305697,0.0549182,0.0254066,0.0541263,0
-0.0256287,0.0305706,0.0549285,0.0254075,0.0541287,0
-0.0256287,0.0305706,0.0549285,0.0254075,0.0541287,0
-0.0255697,0.0305725,0.0549389,0.0254093,0.0541328,0
-0.0255587,0.0305728,0.054949,0.0254099,0.0541344,0
-0.0255587,0.0305728,0.054949,0.0254099,0.0541344,0
-0.0255197,0.0305741,0.0549594,0.0254111,0.0541374,0
-0.0255197,0.0305741,0.0549594,0.0254111,0.0541374,0
-0.0253695,0.0305788,0.0549706,0.0254151,0.0541463,0
-0.0253695,0.0305788,0.0549706,0.0254151,0.0541463,0
-0.0253551,0.0305792,0.0549807,0.0254158,0.054148,0
-0.0253273,0.0305801,0.0549909,0.0254168,0.0541505,0
-0.0253273,0.0305801,0.0549909,0.0254168,0.0541505,0
-0.0253273,0.0305801,0.0549909,0.0254168,0.0541505,0
-0.0252805,0.0305816,0.0550013,0.0254182,0.054154,0
-0.0252805,0.0305816,0.0550013,0.0254182,0.054154,0
-0.0252247,0.0305834,0.0550118,0.0254199,0.0541579,0
-0.0252247,0.0305834,0.0550118,0.0254199,0.0541579,0
-0.0251927,0.0305844,0.055022,0.025421,0.0541606,0
-0.0251927,0.0305844,0.055022,0.025421,0.0541606,0
-0.025161,0.0305854,0.0550323,0.0254221,0.0541632,0
-0.025161,0.0305854,0.0550323,0.0254221,0.0541632,0
-0.025161,0.0305854,0.0550323,0.0254221,0.0541632,0
-0.0250324,0.0305896,0.0550434,0.0254255,0.054171,0
-0.0250324,0.0305896,0.0550434,0.0254255,0.054171,0
-0.0249984,0.0305907,0.0550536,0.0254267,0.0541737,0
-0.0249984,0.0305907,0.0550536,0.0254267,0.0541737,0
-0.0249748,0.0305915,0.0550638,0.0254276,0.054176,0
-0.0249634,0.0305919,0.0550739,0.0254281,0.0541776,0
-0.0249634,0.0305919,0.0550739,0.0254281,0.0541776,0
-0.0249042,0.0305938,0.0550844,0.0254299,0.0541817,0
-0.0248745,0.0305948,0.0550946,0.025431,0.0541843,0
-0.0248659,0.0305951,0.0551047,0.0254315,0.0541857,0
-0.0248659,0.0305951,0.0551047,0.0254315,0.0541857,0
-0.0248266,0.0305964,0.055115,0.0254327,0.0541888,0
-0.0248266,0.0305964,0.055115,0.0254327,0.0541888,0
-0.0248266,0.0305964,0.055115,0.0254327,0.0541888,0
-0.0247149,0.0306001,0.0551259,0.0254358,0.0541956,0
-0.0246432,0.0306025,0.0551365,0.0254379,0.0542004,0
-0.0246214,0.0306033,0.0551467,0.0254388,0.0542025,0
-0.0246214,0.0306033,0.0551467,0.0254388,0.0542025,0
-0.0245196,0.0306067,0.0551575,0.0254416,0.0542089,0
-0.0245196,0.0306067,0.0551575,0.0254416,0.0542089,0
-0.0244423,0.0306093,0.0551681,0.0254438,0.0542139,0
-0.0244423,0.0306093,0.0551681,0.0254438,0.0542139,0
-0.0244028,0.0306106,0.0551785,0.0254451,0.054217,0
-0.0244028,0.0306106,0.0551785,0.0254451,0.054217,0
-0.0244028,0.0306106,0.0551785,0.0254451,0.054217,0
-0.0241749,0.0306182,0.0551903,0.0254511,0.0542299,0
-0.0241749,0.0306182,0.0551903,0.0254511,0.0542299,0
-0.0297943,0.0356295,0.047355,0.0303189,0.0470805,1
-0.0297119,0.0356323,0.0473656,0.0303215,0.0470863,0
-0.0297119,0.0356323,0.0473656,0.0303215,0.0470863,0
-0.0295528,0.0356379,0.0473769,0.0303262,0.0470966,0
-0.0295528,0.0356379,0.0473769,0.0303262,0.0470966,0
-0.0295528,0.0356379,0.0473769,0.0303262,0.0470966,0
-0.0294298,0.0356423,0.0473879,0.0303299,0.0471047,0
-0.0294298,0.0356423,0.0473879,0.0303299,0.0471047,0
-0.0294298,0.0356423,0.0473879,0.0303299,0.0471047,0
-0.0291615,0.035652,0.0474,0.0303377,0.0471213,0
-0.0291439,0.0356526,0.0474101,0.0303385,0.0471234,0
-0.0272714,0.034715,0.0442733,0.0323525,0.0442254,1
-0.027236,0.0347163,0.0442836,0.0323539,0.0442286,0
-0.027236,0.0347163,0.0442836,0.0323539,0.0442286,0
-0.0271136,0.0347207,0.0442945,0.0323577,0.044237,0
-0.0271136,0.0347207,0.0442945,0.0323577,0.044237,0
-0.0271136,0.0347207,0.0442945,0.0323577,0.044237,0
-0.0271136,0.0347207,0.0442945,0.0323577,0.044237,0
-0.0271136,0.0347207,0.0442945,0.0323577,0.044237,0
-0.0270989,0.0347212,0.0443046,0.0323585,0.0442389,0
-0.0270398,0.0347233,0.0443151,0.0323605,0.0442435,0
-0.0270398,0.0347233,0.0443151,0.0323605,0.0442435,0
-0.0269931,0.0347249,0.0443254,0.0323621,0.0442473,0
-0.0269931,0.0347249,0.0443254,0.0323621,0.0442473,0
-0.0269546,0.0347263,0.0443357,0.0323636,0.0442506,0
-0.0268512,0.0347301,0.0443465,0.0323669,0.0442579,0
-0.0268512,0.0347301,0.0443465,0.0323669,0.0442579,0
-0.0268024,0.0347319,0.0443569,0.0323686,0.0442618,0
-0.0268024,0.0347319,0.0443569,0.0323686,0.0442618,0
-0.0267664,0.0347332,0.0443672,0.03237,0.044265,0
-0.0267357,0.0347343,0.0443774,0.0323712,0.0442679,0
-0.0267357,0.0347343,0.0443774,0.0323712,0.0442679,0
-0.0267357,0.0347343,0.0443774,0.0323712,0.0442679,0
-0.0266929,0.0347359,0.0443877,0.0323728,0.0442715,0
-0.026951,0.0364088,0.0426734,0.0334919,0.0427206,1
-0.0267989,0.0364143,0.0426846,0.0334967,0.042731,0
-0.0267989,0.0364143,0.0426846,0.0334967,0.042731,0
-0.0267874,0.0364147,0.0426947,0.0334974,0.0427327,0
-0.0267874,0.0364147,0.0426947,0.0334974,0.0427327,0
-0.0267686,0.0364154,0.0427048,0.0334983,0.0427349,0
-0.0267686,0.0364154,0.0427048,0.0334983,0.0427349,0
-0.0267313,0.0364168,0.0427151,0.0334997,0.0427382,0
-0.0267313,0.0364168,0.0427151,0.0334997,0.0427382,0
-0.0266205,0.036421,0.0427259,0.0335033,0.042746,0
-0.0266205,0.036421,0.0427259,0.0335033,0.042746,0
-0.0266077,0.0364215,0.042736,0.033504,0.0427478,0
-0.0266077,0.0364215,0.042736,0.033504,0.0427478,0
-0.0265855,0.0364224,0.0427462,0.033505,0.0427502,0
-0.0265855,0.0364224,0.0427462,0.033505,0.0427502,0
-0.0265554,0.0364235,0.0427564,0.0335063,0.0427531,0
-0.0265554,0.0364235,0.0427564,0.0335063,0.0427531,0
-0.0264465,0.0364278,0.0427672,0.0335098,0.0427608,0
-0.0264307,0.0364285,0.0427773,0.0335106,0.0427628,0
-0.0264307,0.0364285,0.0427773,0.0335106,0.0427628,0
